"Topic","Difficulty","Q_No","Question","Expected Answer","Optional Follow-ups"
"NPM & Package Management","Intermediate","7","What are transitive (nested) dependencies?","Dependencies of your dependencies automatically installed by NPM.","How do conflicts get resolved?"
"NPM & Package Management","Intermediate","8","What does npx do?","Runs a package without installing it globally (executes from registry/cache).","Why is npx useful for CLI tools?"
"NPM & Package Management","Intermediate","9","What is the difference between npm install and npm ci?","npm install installs per package.json; npm ci installs exactly from package-lock.json and is faster for CI.","Which one is used in CI/CD pipelines?"
"NPM & Package Management","Intermediate","10","How do you update outdated packages?","Run npm outdated and then npm update or manually bump versions.","Why should updates be cautious?"
"NPM & Package Management","Advanced","11","Explain how NPM resolves dependency versions.","NPM uses package.json semver ranges and available registry versions; it installs the best matching version allowed.","What happens when two packages need different versions?"
"NPM & Package Management","Advanced","12","What is a peer dependency?","A dependency the host project must install because the library expects a specific version of it.","Give examples (e.g., React + plugins)."
"NPM & Package Management","Advanced","13","What does 'tree flattening' mean in NPM v3+?","NPM installs packages as high in the folder tree as possible to reduce duplicates.","What issue did this solve vs NPM v2?"
"NPM & Package Management","Advanced","14","What are common NPM security concerns?","Malicious packages, supply-chain attacks, and vulnerable/outdated versions.","What command checks for security issues?"
"NPM & Package Management","Advanced","15","What is a monorepo, and how can NPM work with it?","A monorepo holds multiple projects; NPM supports workspaces for managing multiple packages.","Name an alternative tool (Yarn Workspaces, PNPM)."
"Express.js Fundamentals","Basic","1","What is Express.js?","A lightweight Node.js framework for building web servers and APIs.","Why is Express popular?"
"Express.js Fundamentals","Basic","2","What is middleware in Express?","Functions that run between request and response to modify req/res or control flow (e.g., logging, parsing).","Name some built-in middleware; What is next() used for?"
"Express.js Fundamentals","Basic","3","What is routing?","Mapping incoming requests (method + path) to handler functions.","What are route parameters?"
"Express.js Fundamentals","Basic","4","How do you create a basic Express server?","Example: const app = require('express')(); app.get('/', (req,res)=>res.send('Hello')); app.listen(3000);","What does app.listen() do?"
"Express.js Fundamentals","Basic","5","What objects does Express provide inside a route handler?","req (request), res (response), next (to move to next middleware).","What can you access inside req?"
"Express.js Fundamentals","Intermediate","6","Explain the request–response lifecycle in Express.","Request enters → middleware stack runs → route handler runs → response sent → request ends.","What happens if next() is never called?"
"Express.js Fundamentals","Intermediate","7","What is the difference between application-level and router-level middleware?","App-level (app.use) affects whole app; router-level (router.use) affects only that router.","When would you use routers?"
"Express.js Fundamentals","Intermediate","8","How do you define route parameters?","Example: app.get('/user/:id', (req,res)=>res.send(req.params.id));","What is req.params?"
"Express.js Fundamentals","Intermediate","9","What is the purpose of express.json() and express.urlencoded()?","Middleware to parse JSON bodies and URL-encoded form data.","What was used before Express v4.16?"
"Express.js Fundamentals","Intermediate","10","What are static files in Express, and how do you serve them?","Files like HTML/CSS/images served via express.static('public').","Why serve static files from a separate directory?"
"Express.js Fundamentals","Advanced","11","What is error-handling middleware? How does it differ from normal middleware?","Error middleware has 4 params (err,req,res,next) and handles errors centrally.","Why must it be defined last?"
"Express.js Fundamentals","Advanced","12","Explain how Express implements middleware internally.","Express keeps a stack of middleware functions; each calls next() to pass control.","What happens if a middleware sends a response but still calls next()?"
"Express.js Fundamentals","Advanced","13","What is the difference between app.use() and app.get()?","app.use() registers middleware for all methods (or a path), app.get() registers a handler for GET requests.","Can app.use() handle errors?"
"Express.js Fundamentals","Advanced","14","How do you chain multiple middleware functions for a route?","Example: app.get('/data', m1, m2, (req,res)=>res.send('done'));","Why do we chain middlewares?"
"Express.js Fundamentals","Advanced","15","How does Express handle async errors in route handlers?","Express doesn't catch async errors by default; use next(err) or an async wrapper or express-async-errors.","Example of a wrapper function?"
"Asynchronous Programming","Basic","1","What is a callback in Node.js?","A callback is a function passed to another function to run after an async task completes.","What is callback hell?"
"Asynchronous Programming","Basic","2","What is a Promise?","A Promise represents a value that will be available now, later, or never (resolved/rejected).","What are promise states?"
"Asynchronous Programming","Basic","3","What is async/await?","A cleaner syntax for working with Promises using async functions and await keyword.","Does await block the event loop?"
"Asynchronous Programming","Basic","4","What is the difference between setTimeout and setImmediate?","setTimeout runs after a delay; setImmediate runs after the current event loop phase.","Which one executes first?"
"Asynchronous Programming","Basic","5","What is the purpose of the microtask queue?","It stores high-priority jobs like Promise callbacks.","Why do promises run before setTimeout?"
"Asynchronous Programming","Intermediate","6","How do you handle errors in Promises?","Use .catch() to handle rejected Promises.","What happens if you forget .catch()?"
"Asynchronous Programming","Intermediate","7","How do you make parallel async calls with Promise.all?","Promise.all runs all Promises together and waits for all to finish.","What happens if one Promise fails?"
"Asynchronous Programming","Intermediate","8","What is callback hell?","Deeply nested callbacks that make code hard to read and maintain.","How do Promises solve it?"
"Asynchronous Programming","Intermediate","9","Explain the difference between concurrency and parallelism in Node.js.","Concurrency = multiple tasks overlapping; Parallelism = tasks running simultaneously.","Where does Node achieve parallelism?"
"Asynchronous Programming","Intermediate","10","What are async iterators?","They allow looping over async data sources using for await...of.","Give a real example use case."
"Asynchronous Programming","Advanced","11","How do Worker Threads help with CPU-intensive tasks?","They offload CPU-heavy operations to separate threads to prevent blocking the main event loop.","When should clusters be used instead?"
"Asynchronous Programming","Advanced","12","What is the event loop starvation issue?","When the event loop becomes too busy (blocked), causing delayed response handling.","Give an example of blocking code."
"Asynchronous Programming","Advanced","13","Explain Promise.race vs Promise.all.","race returns first settled Promise; all waits for all to settle.","When would you use race?"
"Asynchronous Programming","Advanced","14","What is backpressure in Node.js streams?","Backpressure occurs when data is produced faster than it can be consumed.","How does pipe() handle it?"
"Asynchronous Programming","Advanced","15","How does Node handle async DNS lookups?","Some DNS lookups use the thread pool; some use OS-level async APIs.","Which DNS methods block?"
"Error Handling in Node.js & Express","Basic","1","What are common error types in Node.js?","Syntax errors, runtime errors, operational errors.","Give an example of each."
"Error Handling in Node.js & Express","Basic","2","How do you handle errors in callback-style code?","Check the first argument (err) in the callback pattern.","Why is the first argument usually err?"
"Error Handling in Node.js & Express","Basic","3","How do you catch errors in async/await functions?","Wrap code in try/catch.","What happens if you forget try/catch?"
"Error Handling in Node.js & Express","Basic","4","What is a synchronous vs asynchronous error?","Sync errors happen immediately; async errors happen later in callbacks/promises.","Examples of each?"
"Error Handling in Node.js & Express","Basic","5","What is the difference between operational errors and programmer errors?","Operational errors are expected (e.g. DB fails); programmer errors are bugs.","How should programmer errors be handled?"
"Error Handling in Node.js & Express","Intermediate","6","How do you pass errors to Express's error handler?","Call next(err) to forward errors.","What happens if next() is not called?"
"Error Handling in Node.js & Express","Intermediate","7","What is Express’s error-handling middleware signature?","(err, req, res, next) function with four parameters.","Why must it be last?"
"Error Handling in Node.js & Express","Intermediate","8","How do you handle async errors in Express routes?","Use try/catch, next(err), or async wrapper packages like express-async-errors.","Give an example wrapper."
"Error Handling in Node.js & Express","Intermediate","9","What is a global error handler in Node.js?","Handles unhandledRejection or uncaughtException globally.","Why should uncaughtException exit the process?"
"Error Handling in Node.js & Express","Intermediate","10","How do you return proper HTTP error responses?","Use correct status codes and JSON error messages.","Difference between 400 and 500?"
"Error Handling in Node.js & Express","Advanced","11","What is error normalization?","Converting different error types into a consistent format.","Why is this useful in APIs?"
"Error Handling in Node.js & Express","Advanced","12","How do you implement custom error classes?","Extend Error class and add status codes/custom fields.","Example of custom error fields?"
"Error Handling in Node.js & Express","Advanced","13","What is centralized error handling?","One central handler manages all errors, improving consistency.","How does it help debugging?"
"Error Handling in Node.js & Express","Advanced","14","Why should you avoid throwing inside async callbacks?","Thrown async errors won’t be caught; use next(err) or reject() instead.","What happens if you forget?")
"Error Handling in Node.js & Express","Advanced","15","How do you log production errors safely?","Use logging libraries and avoid exposing sensitive info.","Name a logging tool."
"REST API Design Principles","Basic","1","What is a REST API?","A style of building APIs using HTTP methods and resources.","Why is REST stateless?"
"REST API Design Principles","Basic","2","What are common HTTP methods?","GET, POST, PUT/PATCH, DELETE.","When use PATCH instead of PUT?"
"REST API Design Principles","Basic","3","What does stateless mean in REST?","Server does not store client session state; each request has all info.","How does this help scaling?"
"REST API Design Principles","Basic","4","What is a resource?","An entity like users, products, orders, represented by a URL.","Why use nouns instead of verbs?"
"REST API Design Principles","Basic","5","How should REST endpoints be structured?","Use clear, noun-based, hierarchical URLs like /users/:id.","What about nested resources?"
"REST API Design Principles","Intermediate","6","What are HTTP status codes?","Codes representing the outcome of a request (200, 400, 404, 500).","Difference between 401 and 403?"
"REST API Design Principles","Intermediate","7","What is API versioning?","Versioning prevents breaking old clients (e.g., /api/v1).","Other versioning methods?"
"REST API Design Principles","Intermediate","8","What is pagination and why use it?","Splits large data into pages; improves performance.","What methods of pagination exist?"
"REST API Design Principles","Intermediate","9","What is idempotency?","Repeated requests give same result (GET, PUT, DELETE).","Why is DELETE idempotent?"
"REST API Design Principles","Intermediate","10","What is content negotiation?","Client requests specific response format via Accept header.","What if server can't return requested type?"
"REST API Design Principles","Advanced","11","What is HATEOAS?","Including links in responses to guide clients to next actions.","Why is it rarely used today?"
"REST API Design Principles","Advanced","12","What is the difference between PUT and PATCH?","PUT replaces resource fully; PATCH updates only fields.","When is PATCH more efficient?"
"REST API Design Principles","Advanced","13","What are REST best practices?","Use proper status codes, versioning, validation, pagination, secure endpoints.","Why use consistent naming?"
"REST API Design Principles","Advanced","14","What is API rate limiting?","Limit how many requests a client can make to prevent abuse.","When is IP-based limiting insufficient?"
"REST API Design Principles","Advanced","15","How do you design a scalable REST API?","Use caching, pagination, async processing, stateless design.","Where is caching most effective?"
Authentication & Authorization,Basic,What is authentication?,"Verifying a user's identity.","What is authorization then?"
Authentication & Authorization,Basic,What is authorization?,"Deciding what a verified user can access.","Can you give an example?"
Authentication & Authorization,Basic,What is JWT?,"A compact token format containing signed user data.","Why is it signed?"
Authentication & Authorization,Basic,Where are JWTs commonly stored?,"LocalStorage, cookies, or memory.","Which is safest?"
Authentication & Authorization,Intermediate,What are the parts of a JWT?,"Header, Payload, Signature.","Which part should not store sensitive data?"
Authentication & Authorization,Intermediate,How do sessions differ from JWT?,"Sessions store user data on the server; JWT is stateless.","Which scales better?"
Authentication & Authorization,Intermediate,What is refresh token used for?,"To get new access tokens without logging in again.","How long should refresh tokens live?"
Authentication & Authorization,Intermediate,What is OAuth?,"A framework for delegated access (Login via Google/Facebook).","What is an OAuth provider?"
Authentication & Authorization,Advanced,How do you secure JWTs?,"Short expiry, HTTPS, httpOnly cookies, avoid sensitive payloads.","Why avoid long-lived access tokens?"
Authentication & Authorization,Advanced,How do you invalidate JWTs?,"Maintain a blacklist or rotate tokens.","Can you revoke refresh tokens?"
Authentication & Authorization,Advanced,Explain stateless vs stateful auth in microservices.,"Stateless uses tokens; stateful uses sessions or shared storage.","Which is easier to scale?"
Authentication & Authorization,Advanced,What are common OAuth flows?,"Authorization Code, Implicit, Client Credentials.","Which is used by server-side apps?"
Databases,Basic,What is the difference between SQL and NoSQL?,"SQL is relational; NoSQL is non-relational.","Give one example of each."
Databases,Basic,What is a primary key?,"A unique identifier for rows.","What is a foreign key?"
Databases,Basic,What is MongoDB?,"A NoSQL document database.","How does it store data?"
Databases,Basic,What is Mongoose?,"An ODM for MongoDB.","Why use schemas?"
Databases,Intermediate,What is Sequelize?,"A promise-based ORM for SQL databases.","What SQL engines does Sequelize support?"
Databases,Intermediate,How do you define a Mongoose schema?,"Using new Schema({ field: type }).","Can schemas have validators?"
Databases,Intermediate,What is indexing in databases?,"Improves lookup speed.","What is the downside of too many indexes?"
Databases,Intermediate,Explain JOIN in SQL.,"Combines data from multiple tables.","Difference between INNER and LEFT join?"
Databases,Advanced,When would you choose SQL vs NoSQL?,"SQL for relations, NoSQL for flexibility and scale.","Example use cases?"
Databases,Advanced,How do transactions work?,"Ensure atomic, consistent operations.","Does MongoDB support transactions?"
Databases,Advanced,Explain population in Mongoose.,"Replaces referenced ObjectIds with actual documents.","Is it similar to SQL JOIN?"
Databases,Advanced,What is database sharding?,"Splitting data across servers for scaling.","Does MongoDB support this?"
Security,Basic,What is CORS?,"A browser security feature restricting cross-origin requests.","How do you enable CORS in Express?"
Security,Basic,Why is input validation important?,"Prevents invalid or malicious data.","Where should validation occur?"
Security,Basic,What is HTTPS?,"Encrypted communication using TLS.","Why not use plain HTTP?"
Security,Basic,What is SQL injection?,"An attack inserting malicious SQL commands.","How do ORMs help prevent it?"
Security,Intermediate,How do you protect an API using rate limiting?,"By limiting requests per IP or token.","Which npm package can you use?"
Security,Intermediate,What is XSS?,"Injecting malicious scripts into webpages.","How do you protect against it?"
Security,Intermediate,What is CSRF?,"Forcing a logged-in user to perform unwanted actions.","How do CSRF tokens help?"
Security,Intermediate,What are httpOnly cookies?,"Cookies not accessible via JS, used for secure tokens.","Why are they safer?"
Security,Advanced,What is the OWASP Top 10?,"A list of major web security risks.","Can you name two items?"
Security,Advanced,How do you secure file uploads?,"Check file type, size, storage location, and scan files.","Which packages handle uploads?"
Security,Advanced,Explain content security policy (CSP).,"A header restricting allowed sources for scripts/styles.","How does CSP help prevent XSS?"
Security,Advanced,How do you mitigate brute-force attacks?,"Rate limiting, captcha, account lockouts.","When is IP-based limiting ineffective?"
